java_job_id,cloud_job_key,case_id,mode,execution_status,publish_decision,final_selected
job-1bbe0a8f-4c6d-4110-b007-5637d3c38f22,09045fd7e400be319258aaf9773bf60ca19ab57105095a2480622fa4f93bf074,fb_001_tuesday_repair,MIXED,BLOCKED,PROVISIONAL_SELECTED,0
job-7afce51c-adbb-47ab-94c8-9d0f4ffd9c8d,2c9a2ac0a2ca68c46bfb659daf1b298b950e7e59e2151d73061db028723ef528,fb_004_transplant_v1,REPLAY,BLOCKED,REPAIR_REJECTED,0
job-c7b7a923-c74b-461d-af34-b2927e8ec033,1bf762b1d900fc64ac5608563fd5664c39e33d9b931a0631a14d82382eed29f4,fb_001_tuesday_repair,REPLAY,SUCCEEDED,PROVISIONAL_SELECTED,0
